year,collection_round,sub_basin,Total
2019,2,Daeho_Seawall,92
2019,2,Yeongsangang_Sangryu,175
2019,2,Byeongseongcheon,116
2019,2,Geojedo,278
2019,2,Hangang_Jamsil,202
2019,2,Imjingangharyu,152
2019,2,Gangreung_Namdaecheon,299
2019,2,Chungjudaem,265
2019,2,Seomjingang_Seonamhae,262
2019,2,Hantangang,259
2019,2,Daecheongdaem,172
2019,2,Yeongsangang_Haryu,130
2019,2,Jejunamhae,72
2019,2,Yeongamcheon,78
2019,2,Imjingangsangryu,65
2019,2,Gahwacheon,373
2019,2,Hangang_Seoul,188
2019,2,Mihocheon,167
2019,2,Jujincheon,246
2019,2,Muju_Namdaecheon,116
2019,2,Inbukcheon,149
2019,2,Daejongcheon,198
2019,2,Sunchang,143
2019,2,Hwanggang,141
2019,2,Hoecheon,146
2019,2,Uiamdaem,229
2019,2,Gomakwoncheon,105
2019,2,Jejuseohae,28
2019,2,Sihwaho,111
2019,2,Seomjingang_Haryu,235
2019,2,Anseongcheon,138
2019,2,Geumgang_Gongju,242
2019,2,Dongjingang,284
2019,2,Namhangangharyu,260
2019,2,Naeseongcheon,201
2019,2,Pyeongchanggang,258
2019,2,Nonsancheon,156
2019,2,Sapgyocheon,184
2019,2,Isacheon,266
2019,2,Jejubukhae,43
2019,2,Samcheokosipcheon,246
2019,2,Yeosusi,41
2019,2,Juamdaem,233
2019,2,Cheongpyeongdaem,206
2019,2,Geumgang_Hagueon,78
2019,2,Yeongsangang_Jungryu(juksanbo),150
2019,2,Hapcheondaem,132
2019,2,Geumgang_Seohae,260
2019,2,Hangang_Seohae,194
2019,2,Jiseokcheon,160
2019,2,Nakdongchangnyeong,203
2019,2,Yocheon,129
2019,2,Nakdongsangju,141
2019,2,Jindo,126
2019,2,Sinangun,43
2019,2,Hongcheongang,183
2019,2,Mangyeonggang,268
2019,2,Yeonggang,164
2019,2,Nakdonggang_Namhae,324
2019,2,Namgangdaem,207
2019,2,Chuncheondaem,188
2019,2,Andongdaem,249
2019,2,Nakdongmilyang,145
2019,2,Chungjudaemharyu,177
2019,2,Daecheongdaemsangryu,71
2019,2,Wicheon,127
2019,2,Gyeongancheon,169
2019,2,Chogang,99
2019,2,Boseonggang,89
2019,2,Hoeyagang,202
2019,2,Wangpicheon,332
2019,2,Sueocheon,196
2019,2,Yeongdeokosipcheon,260
2019,2,Imhadaem,297
2019,2,Taehwagang,178
2019,2,Seomjingang_Daem,215
2019,2,Paldangdaem,36
2019,2,Hwangryonggang,152
2019,2,Gumibo(nakdonggumi),90
2019,2,Seomjingang_Daemharyu,143
2019,2,Yangyang_Namdaecheon,282
2019,2,Nakdonggang_Hagueon,133
2019,2,Yeongdongcheon,118
2019,2,Andongdaemharyu,154
2019,2,Milyanggang,202
2019,2,Yongdamdaemharyu,76
2019,2,Namhangangsangryu,250
2019,2,Yongdamdaem,147
2019,2,Wando,90
2019,2,Seomgang,270
2019,2,Pyeonghwauidaem,82
2019,2,Osucheon,145
2019,2,Bunam_Seawall,230
2019,2,Daecheongdaemharyu,83
2019,2,Dalcheon,266
2019,2,Bocheongcheon,152
2020,1,Hangang_Goyang,235
2020,1,Hyeongsangang,117
2020,1,Suyeonggang,243
2020,1,Saemangeum(jiksocheon),129
2020,1,Gangjeonggoryeongbo(nakdongwaegwan),204
2020,1,Namgang,227
2020,1,Seomjingokseong,163
2020,1,Geumhogang,194
2020,1,Gapcheon,141
2020,1,Yeongsangang_Hagueon,67
2020,1,Changnyeonghapcheonbo(nakdonggoryeong),203
2020,1,Gamcheon,160
2020,1,Soyanggang,137
2020,1,Namhaedo,234
2020,1,Geumsanmyeon,45
2020,1,Tamjingang,276
2020,1,Watancheon,296
2020,1,Daeho_Seawall,156
2020,1,Yeongsangang_Sangryu,229
2020,1,Byeongseongcheon,73
2020,1,Geojedo,238
2020,1,Hangang_Jamsil,133
2020,1,Imjingangharyu,38
2020,1,Gangreung_Namdaecheon,209
2020,1,Chungjudaem,246
2020,1,Seomjingang_Seonamhae,219
2020,1,Hantangang,163
2020,1,Daecheongdaem,108
2020,1,Yeongsangang_Haryu,164
2020,1,Jejunamhae,28
2020,1,Yeongamcheon,124
2020,1,Imjingangsangryu,120
2020,1,Gahwacheon,346
2020,1,Hangang_Seoul,196
2020,1,Mihocheon,207
2020,1,Jujincheon,278
2020,1,Muju_Namdaecheon,121
2020,1,Inbukcheon,101
2020,1,Daejongcheon,170
2020,1,Sunchang,198
2020,1,Hwanggang,152
2020,1,Hoecheon,185
2020,1,Uiamdaem,196
2020,1,Gomakwoncheon,164
2020,1,Jejuseohae,29
2020,1,Sihwaho,119
2020,1,Seomjingang_Haryu,279
2020,1,Anseongcheon,225
2020,1,Geumgang_Gongju,328
2020,1,Dongjingang,226
2020,1,Namhangangharyu,364
2020,1,Naeseongcheon,183
2020,1,Pyeongchanggang,150
2020,1,Nonsancheon,195
2020,1,Sapgyocheon,311
2020,1,Isacheon,200
2020,1,Jejubukhae,23
2020,1,Samcheokosipcheon,179
2020,1,Yeosusi,34
2020,1,Juamdaem,234
2020,1,Cheongpyeongdaem,188
2020,1,Geumgang_Hagueon,158
2020,1,Yeongsangang_Jungryu(juksanbo),164
2020,1,Hapcheondaem,213
2020,1,Geumgang_Seohae,212
2020,1,Hangang_Seohae,228
2020,1,Jiseokcheon,228
2020,1,Nakdongchangnyeong,159
2020,1,Yocheon,217
2020,1,Nakdongsangju,83
2020,1,Jindo,173
